,Substructure,Mooring System,Substructure Installation,Mooring System Installation,Turbine,Soft,Project,Turbine Rating
0,4213.0,128.0,106.0,46.0,1300.0,645.0,252.0,12MW
1,4027.0,102.0,85.0,37.0,1300.0,645.0,252.0,15MW
2,3802.0,87.0,73.0,32.0,1326.0,645.0,252.0,17MW
3,3973.0,87.0,73.0,32.0,1326.0,645.0,252.0,18MW
4,3794.0,77.0,64.0,28.0,1300.0,645.0,252.0,20MW
