,mass,unit_cost,towing_speed,Turbine Rating
0,2567.0,17094831.0,6,12MW
1,2921.0,19348509.0,6,15MW
2,3297.0,21725842.0,6,17MW
3,3297.0,21725842.0,6,18MW
4,3561.0,23379428.0,6,20MW
